thirdMeshCode,大分類,企業数,従業員数,売上高,lowerLeft_lng,lowerLeft_lat,lowerRight_lng,lowerRight_lat,upperRight_lng,upperRight_lat,upperLeft_lng,upperLeft_lat,center_lng,center_lat
53342025,F_製造業,1,164,9715,134.0625,35.51666667,134.075,35.51666667,134.075,35.525,134.0625,35.525,134.06875,35.52083333
53342025,L_サービス業,1,11,105,134.0625,35.51666667,134.075,35.51666667,134.075,35.525,134.0625,35.525,134.06875,35.52083333
53342103,E_建設業,3,52,1938,134.1625,35.5,134.175,35.5,134.175,35.50833333,134.1625,35.50833333,134.16875,35.50416666
53342103,I_不動産業,1,,270,134.1625,35.5,134.175,35.5,134.175,35.50833333,134.1625,35.50833333,134.16875,35.50416666
53342104,E_建設業,10,56,1242,134.175,35.5,134.1875,35.5,134.1875,35.50833333,134.175,35.50833333,134.18125,35.50416666
53342104,F_製造業,1,55,200,134.175,35.5,134.1875,35.5,134.1875,35.50833333,134.175,35.50833333,134.18125,35.50416666
53342104,G_卸・小売業，飲食店,3,8,192,134.175,35.5,134.1875,35.5,134.1875,35.50833333,134.175,35.50833333,134.18125,35.50416666
53342105,F_製造業,1,70,630,134.1875,35.5,134.2,35.5,134.2,35.50833333,134.1875,35.50833333,134.19375,35.50416666
53342105,G_卸・小売業，飲食店,3,30,1095,134.1875,35.5,134.2,35.5,134.2,35.50833333,134.1875,35.50833333,134.19375,35.50416666
53342105,L_サービス業,2,75,1036,134.1875,35.5,134.2,35.5,134.2,35.50833333,134.1875,35.50833333,134.19375,35.50416666
53342106,A_農業,1,4,15,134.2,35.5,134.2125,35.5,134.2125,35.50833333,134.2,35.50833333,134.20625,35.50416666
53342106,E_建設業,14,134,2939,134.2,35.5,134.2125,35.5,134.2125,35.50833333,134.2,35.50833333,134.20625,35.50416666
53342106,F_製造業,7,163,1951,134.2,35.5,134.2125,35.5,134.2125,35.50833333,134.2,35.50833333,134.20625,35.50416666
53342106,G_卸・小売業，飲食店,15,346,21504,134.2,35.5,134.2125,35.5,134.2125,35.50833333,134.2,35.50833333,134.20625,35.50416666
53342106,I_不動産業,1,,5,134.2,35.5,134.2125,35.5,134.2125,35.50833333,134.2,35.50833333,134.20625,35.50416666
53342106,J_運輸・通信業,2,26,240,134.2,35.5,134.2125,35.5,134.2125,35.50833333,134.2,35.50833333,134.20625,35.50416666
53342107,E_建設業,5,18,220,134.2125,35.5,134.225,35.5,134.225,35.50833333,134.2125,35.50833333,134.21875,35.50416666
53342107,F_製造業,1,3,40,134.2125,35.5,134.225,35.5,134.225,35.50833333,134.2125,35.50833333,134.21875,35.50416666
53342107,G_卸・小売業，飲食店,7,106,2859,134.2125,35.5,134.225,35.5,134.225,35.50833333,134.2125,35.50833333,134.21875,35.50416666
53342107,L_サービス業,5,203,1539,134.2125,35.5,134.225,35.5,134.225,35.50833333,134.2125,35.50833333,134.21875,35.50416666
53342108,E_建設業,11,99,1753,134.225,35.5,134.2375,35.5,134.2375,35.50833333,134.225,35.50833333,134.23125,35.50416666
53342108,F_製造業,3,94,1132,134.225,35.5,134.2375,35.5,134.2375,35.50833333,134.225,35.50833333,134.23125,35.50416666
53342108,G_卸・小売業，飲食店,22,261,11680,134.225,35.5,134.2375,35.5,134.2375,35.50833333,134.225,35.50833333,134.23125,35.50416666
53342108,H_金融・保険業,1,5,67,134.225,35.5,134.2375,35.5,134.2375,35.50833333,134.225,35.50833333,134.23125,35.50416666
53342108,I_不動産業,3,11,523,134.225,35.5,134.2375,35.5,134.2375,35.50833333,134.225,35.50833333,134.23125,35.50416666
53342108,J_運輸・通信業,2,24,960,134.225,35.5,134.2375,35.5,134.2375,35.50833333,134.225,35.50833333,134.23125,35.50416666
53342108,L_サービス業,12,1238,6600,134.225,35.5,134.2375,35.5,134.2375,35.50833333,134.225,35.50833333,134.23125,35.50416666
53342108,M_公務,1,1325,94647,134.225,35.5,134.2375,35.5,134.2375,35.50833333,134.225,35.50833333,134.23125,35.50416666
53342109,E_建設業,1,3,100,134.2375,35.5,134.25,35.5,134.25,35.50833333,134.2375,35.50833333,134.24375,35.50416666
53342109,I_不動産業,1,4,174,134.2375,35.5,134.25,35.5,134.25,35.50833333,134.2375,35.50833333,134.24375,35.50416666
53342109,M_公務,1,3017,352501,134.2375,35.5,134.25,35.5,134.25,35.50833333,134.2375,35.50833333,134.24375,35.50416666
53342113,A_農業,1,7,300,134.1625,35.50833333,134.175,35.50833333,134.175,35.51666667,134.1625,35.51666667,134.16875,35.5125
53342113,L_サービス業,2,2074,39073,134.1625,35.50833333,134.175,35.50833333,134.175,35.51666667,134.1625,35.51666667,134.16875,35.5125
53342114,E_建設業,1,14,122,134.175,35.50833333,134.1875,35.50833333,134.1875,35.51666667,134.175,35.51666667,134.18125,35.5125
53342114,F_製造業,1,240,5850,134.175,35.50833333,134.1875,35.50833333,134.1875,35.51666667,134.175,35.51666667,134.18125,35.5125
53342114,G_卸・小売業，飲食店,1,2,90,134.175,35.50833333,134.1875,35.50833333,134.1875,35.51666667,134.175,35.51666667,134.18125,35.5125
53342115,D_鉱業,1,7,45,134.1875,35.50833333,134.2,35.50833333,134.2,35.51666667,134.1875,35.51666667,134.19375,35.5125
53342115,E_建設業,20,259,6368,134.1875,35.50833333,134.2,35.50833333,134.2,35.51666667,134.1875,35.51666667,134.19375,35.5125
53342115,F_製造業,4,70,1588,134.1875,35.50833333,134.2,35.50833333,134.2,35.51666667,134.1875,35.51666667,134.19375,35.5125
53342115,G_卸・小売業，飲食店,23,724,29705,134.1875,35.50833333,134.2,35.50833333,134.2,35.51666667,134.1875,35.51666667,134.19375,35.5125
53342115,J_運輸・通信業,3,54,665,134.1875,35.50833333,134.2,35.50833333,134.2,35.51666667,134.1875,35.51666667,134.19375,35.5125
53342115,K_電気ガス水道業,1,46,2890,134.1875,35.50833333,134.2,35.50833333,134.2,35.51666667,134.1875,35.51666667,134.19375,35.5125
53342115,L_サービス業,17,910,43774,134.1875,35.50833333,134.2,35.50833333,134.2,35.51666667,134.1875,35.51666667,134.19375,35.5125
53342116,E_建設業,18,248,6376,134.2,35.50833333,134.2125,35.50833333,134.2125,35.51666667,134.2,35.51666667,134.20625,35.5125
53342116,F_製造業,10,163,3154,134.2,35.50833333,134.2125,35.50833333,134.2125,35.51666667,134.2,35.51666667,134.20625,35.5125
53342116,G_卸・小売業，飲食店,30,627,22758,134.2,35.50833333,134.2125,35.50833333,134.2125,35.51666667,134.2,35.51666667,134.20625,35.5125
53342116,I_不動産業,3,47,1224,134.2,35.50833333,134.2125,35.50833333,134.2125,35.51666667,134.2,35.51666667,134.20625,35.5125
53342116,J_運輸・通信業,2,37,685,134.2,35.50833333,134.2125,35.50833333,134.2125,35.51666667,134.2,35.51666667,134.20625,35.5125
53342116,L_サービス業,15,923,58612,134.2,35.50833333,134.2125,35.50833333,134.2125,35.51666667,134.2,35.51666667,134.20625,35.5125
53342117,B_林業，狩猟業,1,9,396,134.2125,35.50833333,134.225,35.50833333,134.225,35.51666667,134.2125,35.51666667,134.21875,35.5125
53342117,E_建設業,5,33,860,134.2125,35.50833333,134.225,35.50833333,134.225,35.51666667,134.2125,35.51666667,134.21875,35.5125
53342117,G_卸・小売業，飲食店,9,222,9203,134.2125,35.50833333,134.225,35.50833333,134.225,35.51666667,134.2125,35.51666667,134.21875,35.5125
53342117,I_不動産業,1,5,347,134.2125,35.50833333,134.225,35.50833333,134.225,35.51666667,134.2125,35.51666667,134.21875,35.5125
53342117,L_サービス業,5,110,5378,134.2125,35.50833333,134.225,35.50833333,134.225,35.51666667,134.2125,35.51666667,134.21875,35.5125
53342118,E_建設業,5,97,2009,134.225,35.50833333,134.2375,35.50833333,134.2375,35.51666667,134.225,35.51666667,134.23125,35.5125
53342118,F_製造業,1,12,98,134.225,35.50833333,134.2375,35.50833333,134.2375,35.51666667,134.225,35.51666667,134.23125,35.5125
53342118,G_卸・小売業，飲食店,2,18,770,134.225,35.50833333,134.2375,35.50833333,134.2375,35.51666667,134.225,35.51666667,134.23125,35.5125
53342118,L_サービス業,3,960,6270,134.225,35.50833333,134.2375,35.50833333,134.2375,35.51666667,134.225,35.51666667,134.23125,35.5125
53342120,I_不動産業,1,,350,134.125,35.51666667,134.1375,35.51666667,134.1375,35.525,134.125,35.525,134.13125,35.52083333
53342122,E_建設業,1,28,547,134.15,35.51666667,134.1625,35.51666667,134.1625,35.525,134.15,35.525,134.15625,35.52083333
53342122,L_サービス業,1,450,5128,134.15,35.51666667,134.1625,35.51666667,134.1625,35.525,134.15,35.525,134.15625,35.52083333
53342123,E_建設業,2,12,297,134.1625,35.51666667,134.175,35.51666667,134.175,35.525,134.1625,35.525,134.16875,35.52083333
53342123,F_製造業,1,2,65,134.1625,35.51666667,134.175,35.51666667,134.175,35.525,134.1625,35.525,134.16875,35.52083333
53342123,G_卸・小売業，飲食店,2,6,240,134.1625,35.51666667,134.175,35.51666667,134.175,35.525,134.1625,35.525,134.16875,35.52083333
53342123,I_不動産業,1,22,765,134.1625,35.51666667,134.175,35.51666667,134.175,35.525,134.1625,35.525,134.16875,35.52083333
53342123,L_サービス業,2,311,2677,134.1625,35.51666667,134.175,35.51666667,134.175,35.525,134.1625,35.525,134.16875,35.52083333
53342124,D_鉱業,1,4,165,134.175,35.51666667,134.1875,35.51666667,134.1875,35.525,134.175,35.525,134.18125,35.52083333
53342124,E_建設業,4,36,867,134.175,35.51666667,134.1875,35.51666667,134.1875,35.525,134.175,35.525,134.18125,35.52083333
53342124,F_製造業,1,19,150,134.175,35.51666667,134.1875,35.51666667,134.1875,35.525,134.175,35.525,134.18125,35.52083333
53342124,G_卸・小売業，飲食店,5,355,23164,134.175,35.51666667,134.1875,35.51666667,134.1875,35.525,134.175,35.525,134.18125,35.52083333
53342124,J_運輸・通信業,2,33,377,134.175,35.51666667,134.1875,35.51666667,134.1875,35.525,134.175,35.525,134.18125,35.52083333
53342124,L_サービス業,4,80,2033,134.175,35.51666667,134.1875,35.51666667,134.1875,35.525,134.175,35.525,134.18125,35.52083333
53342125,E_建設業,19,224,6025,134.1875,35.51666667,134.2,35.51666667,134.2,35.525,134.1875,35.525,134.19375,35.52083333
53342125,F_製造業,5,46,853,134.1875,35.51666667,134.2,35.51666667,134.2,35.525,134.1875,35.525,134.19375,35.52083333
53342125,G_卸・小売業，飲食店,20,379,19318,134.1875,35.51666667,134.2,35.51666667,134.2,35.525,134.1875,35.525,134.19375,35.52083333
53342125,I_不動産業,1,20,1300,134.1875,35.51666667,134.2,35.51666667,134.2,35.525,134.1875,35.525,134.19375,35.52083333
53342125,J_運輸・通信業,2,495,5987,134.1875,35.51666667,134.2,35.51666667,134.2,35.525,134.1875,35.525,134.19375,35.52083333
53342125,L_サービス業,2,38,651,134.1875,35.51666667,134.2,35.51666667,134.2,35.525,134.1875,35.525,134.19375,35.52083333
53342126,E_建設業,4,150,6171,134.2,35.51666667,134.2125,35.51666667,134.2125,35.525,134.2,35.525,134.20625,35.52083333
53342126,F_製造業,2,92,750,134.2,35.51666667,134.2125,35.51666667,134.2125,35.525,134.2,35.525,134.20625,35.52083333
53342126,G_卸・小売業，飲食店,9,143,4865,134.2,35.51666667,134.2125,35.51666667,134.2125,35.525,134.2,35.525,134.20625,35.52083333
53342126,I_不動産業,1,,2,134.2,35.51666667,134.2125,35.51666667,134.2125,35.525,134.2,35.525,134.20625,35.52083333
53342126,J_運輸・通信業,1,107,1100,134.2,35.51666667,134.2125,35.51666667,134.2125,35.525,134.2,35.525,134.20625,35.52083333
53342126,L_サービス業,2,1,40,134.2,35.51666667,134.2125,35.51666667,134.2125,35.525,134.2,35.525,134.20625,35.52083333
53342127,E_建設業,7,66,1564,134.2125,35.51666667,134.225,35.51666667,134.225,35.525,134.2125,35.525,134.21875,35.52083333
53342127,G_卸・小売業，飲食店,5,57,2015,134.2125,35.51666667,134.225,35.51666667,134.225,35.525,134.2125,35.525,134.21875,35.52083333
53342127,L_サービス業,7,325,3857,134.2125,35.51666667,134.225,35.51666667,134.225,35.525,134.2125,35.525,134.21875,35.52083333
53342128,E_建設業,4,29,454,134.225,35.51666667,134.2375,35.51666667,134.2375,35.525,134.225,35.525,134.23125,35.52083333
53342128,F_製造業,1,70,1590,134.225,35.51666667,134.2375,35.51666667,134.2375,35.525,134.225,35.525,134.23125,35.52083333
53342128,G_卸・小売業，飲食店,1,100,6830,134.225,35.51666667,134.2375,35.51666667,134.2375,35.525,134.225,35.525,134.23125,35.52083333
53342129,E_建設業,1,,45,134.2375,35.51666667,134.25,35.51666667,134.25,35.525,134.2375,35.525,134.24375,35.52083333
53342132,E_建設業,1,2,40,134.15,35.525,134.1625,35.525,134.1625,35.53333333,134.15,35.53333333,134.15625,35.52916666
53342132,F_製造業,1,6,277,134.15,35.525,134.1625,35.525,134.1625,35.53333333,134.15,35.53333333,134.15625,35.52916666
53342132,G_卸・小売業，飲食店,1,15,1187,134.15,35.525,134.1625,35.525,134.1625,35.53333333,134.15,35.53333333,134.15625,35.52916666
53342133,L_サービス業,1,12,109,134.1625,35.525,134.175,35.525,134.175,35.53333333,134.1625,35.53333333,134.16875,35.52916666
53342134,A_農業,1,45,2200,134.175,35.525,134.1875,35.525,134.1875,35.53333333,134.175,35.53333333,134.18125,35.52916666
53342134,E_建設業,1,13,347,134.175,35.525,134.1875,35.525,134.1875,35.53333333,134.175,35.53333333,134.18125,35.52916666
53342134,G_卸・小売業，飲食店,1,3,290,134.175,35.525,134.1875,35.525,134.1875,35.53333333,134.175,35.53333333,134.18125,35.52916666
53342135,A_農業,1,2,1,134.1875,35.525,134.2,35.525,134.2,35.53333333,134.1875,35.53333333,134.19375,35.52916666
53342135,E_建設業,2,65,805,134.1875,35.525,134.2,35.525,134.2,35.53333333,134.1875,35.53333333,134.19375,35.52916666
53342135,F_製造業,1,25,355,134.1875,35.525,134.2,35.525,134.2,35.53333333,134.1875,35.53333333,134.19375,35.52916666
53342135,G_卸・小売業，飲食店,1,22,1627,134.1875,35.525,134.2,35.525,134.2,35.53333333,134.1875,35.53333333,134.19375,35.52916666
53342135,L_サービス業,2,18,424,134.1875,35.525,134.2,35.525,134.2,35.53333333,134.1875,35.53333333,134.19375,35.52916666
